Marca temporal,Consentimiento informado,Indica tu rango de edad ,Cuál es tu genero,Semestre en el que te encuentras actualmente,Carrera o programa académico,¿Has pensado en abandonar la universidad en algún momento?,"Si respondiste “sí” en la anterior, ¿Cuál fue la razón principal?",¿Cuentas con algún tipo de beca o apoyo institucional?,¿Cómo calificas tu nivel de estrés relacionado con los estudios?,¿Has sentido síntomas de ansiedad o depresión durante tu vida universitaria?,¿La calidad de los docentes ha influido en tu motivación para continuar estudiando?,"¿Has tenido dificultades con procesos administrativos (inscripciones, becas, trámites)?",¿Consideras que el transporte hacia la universidad es un factor que afecta tu permanencia?,"¿Recibes apoyo académico (tutorías, asesorías, acompañamiento)?",¿Tu familia apoya tu decisión de continuar en la universidad?,¿Qué tan satisfecho estás con tu experiencia universitaria actual?,¿Cómo calificas tu nivel de motivación para continuar y terminar tu carrera?,¿Conoces a algún compañero/a que haya abandonado la universidad?,"Si respondiste “sí”, ¿Cuál fue la razón principal por la que abandonó?",¿Consideras que la universidad ofrece suficiente apoyo para evitar el abandono?,¿Qué tipo de apoyo crees que evitaría el abandono escolar en la universidad?,¿Qué sugerencias darías para reducir el abandono escolar en tu salón o en la universidad?
26/9/2025 15:02:13,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,7°,Licenciatura en Psicología,Algunas veces,"Problemas con la universidad (, trámites, docentes, etc)",No cuento con apoyo,Moderado,"Sí, algunas veces",Positivamente,"Sí, algunas dificultades",No afecta,"Sí, de manera ocasional","Sí, totalmente",Muy satisfecho,Alta,Sí,Económica,Sí,Flexibilidad de horarios,Resolver algunas situaciones administrativas para lograr realizar en tiempo y forma los tramites 
23/9/2025 21:27:09,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,25 - 29 años,Masculino,5°,Licenciatura en Ciencias de la Comunicación,Algunas veces,Falta de motivación / interés,"Sí, beca parcial",Muy alto,"Sí, algunas veces",Neutro,"Sí, algunas dificultades","Sí, afecta un poco",No recibo apoyo,"Sí, totalmente",Poco satisfecho,Baja,Sí,Problemas con la universidad,No,Flexibilidad de horarios,Fomentar el compañerismo.
26/9/2025 15:05:45,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,Más de 30,Femenino,1°,Licenciatura en Psicología,Muy frecuentemente,Problemas académicos,No cuento con apoyo,Alto,"Sí, algunas veces",Muy negativamente,"Sí, muchas dificultades",No afecta,No recibo apoyo,"Sí, totalmente",Nada satisfecho,Moderada,No estoy seguro,Problemas con la universidad,No,Tutorías académicas,Que se diera más apoyo alas personas mayores ya que nos cuesta resolver las tareas y el sistema apa
26/9/2025 15:08:36,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,3°,Licenciatura en Psicología,Pocas veces,Falta de motivación / interés,No cuento con apoyo,Muy alto,"Sí, algunas veces",Positivamente,"Sí, algunas dificultades",No afecta,"Sí, de manera constante","Sí, totalmente",Satisfecho,Moderada,Sí,Salud física o mental,Parcialmente,Becas o apoyos económicos,"Que nos den becas ya que la universidad  no cuenta  con un tramite  de becas propio , tenemos  que estar buscando exteriormente, yo por ejemplo estoy a distancia 100% y no hay ninguna  beca para nosotros, hay que ir a buscar por fuera y además  casi no hay, el gobierno  nos quito una para los de a distancia, otra esque los de servicio  escolar nos apoyaran más  con la agilidad  de los trámites no es posible  que hasta entrando de vacaciones  podamos pedir nuestros documentos, porque  el link esta cerrado  en vacaciones, no se porque tardan tanto en subir los datos."
26/9/2025 15:11:24,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,2°,Licenciatura en Psicología,Muy frecuentemente,Dificultades económicas,No cuento con apoyo,Alto,No,Positivamente,"No, casi ninguna",No afecta,"Sí, de manera ocasional","Sí, en parte",Satisfecho,Moderada,Sí,Salud física o mental,Parcialmente,Becas o apoyos económicos,"Solo sería más apoyo en general, en otros casos los compañeros se quejan de algunos maestros pero no en mi caso, todos mis maestros han sido buenos y amables."
23/9/2025 23:30:26,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",20–22 años,Femenino,4°,Licenciatura en Mercadotecnia y Ventas,Algunas veces,"Problemas con la universidad (, trámites, docentes, etc)",No cuento con apoyo,Muy alto,"Sí, frecuentemente",Neutro,"Sí, muchas dificultades","Sí, afecta un poco",No recibo apoyo,"Sí, totalmente",Satisfecho,Moderada,Sí,Problemas con la universidad,No,Becas o apoyos económicos,"lit que mejoren su calidad en los tramites, y que sean más flexibles con la gente que trabaja"
26/9/2025 15:18:56,Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.,Más de 30,Femenino,3°,Licenciatura en Psicología,Algunas veces,Dificultades económicas,No cuento con apoyo,Alto,"Sí, algunas veces",Muy positivamente,"No, ninguna",No afecta,"Sí, de manera constante","Sí, totalmente",Muy satisfecho,Alta,Sí,Familiar,Sí,Becas o apoyos económicos,"Apoyo de becas, apoyo psicológico y orientación vocacional."
28/9/2025 17:38:02,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",20–22 años,Masculino,2°,Licenciatura en Ingeniería en Control y Automatización,Pocas veces,"Problemas con la universidad (, trámites, docentes, etc)",No cuento con apoyo,Alto,"Sí, algunas veces",Neutro,"Sí, algunas dificultades","Sí, afecta mucho",No recibo apoyo,"Sí, totalmente",Poco satisfecho,Baja,Sí,Problemas con la universidad,No,becas y flexibilidad,"Establece un espacio donde los estudiantes se sientan seguros, valorados y escuchados, Ademas de acceso a becas, subvenciones y programas de ayuda económica puede aliviar una gran presión sobre los estudiantes."
26/9/2025 15:28:11,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,1°,Licenciatura en Psicología,Pocas veces,,No cuento con apoyo,Moderado,No,Positivamente,"No, ninguna",No afecta,"Sí, de manera ocasional","Sí, en parte",Satisfecho,Alta,Sí,"El tiempo entre trabajo, hijos, responsabilidades en casa (falta de tiempo) ",Sí,Extensión en entregas de trabajos ,Un poco mas de extensión de tiempo en las UCAS
28/9/2025 20:57:47,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,2°,Licenciatura en Ingeniería en Control y Automatización,Muy frecuentemente,"Problemas con la universidad (, trámites, docentes, etc)",No cuento con apoyo,Muy alto,"Sí, frecuentemente",Neutro,"Sí, muchas dificultades","Sí, afecta un poco",No recibo apoyo,"No, en general no",Nada satisfecho,Muy baja,Sí,Problemas con la universidad,No,"Becas, apoyos académicos, y flexibilidad con el horario.","Escucharnos, apoyo con becas, tutoría académicas y horarios más flexibles, porque las personas que somos, alumnos, madres de familia y trabajadora, no la tenemos fácil es demasiado estrés y frustración, que se nos escuche más, no es fácil dividirse en 3 partes."
26/9/2025 15:33:09,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Masculino,1°,Licenciatura en Psicología,Algunas veces,Dificultades económicas,No cuento con apoyo,Moderado,"Sí, algunas veces",Positivamente,"No, ninguna",No afecta,"Sí, de manera constante","Sí, totalmente",Muy satisfecho,Alta,Sí,Salud física o mental,Parcialmente,Becas y apoyo psicológico,"Apoyo económico debido a los pocos trabajos mal pagados que nos permiten trabajar y estudiar, apoyo psicológico por el estrés que surge por el ámbito académico y laboral"
26/9/2025 15:34:14,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,1°,Licenciatura en Psicología,Nunca,,No cuento con apoyo,Moderado,No,Muy positivamente,"Sí, algunas dificultades","Sí, afecta un poco",No recibo apoyo,"No, en general no",Muy satisfecho,Muy alta,Sí,Económica,No,Becas o apoyos económicos,"Que a los de distancia seamos merecedores de becas, nos esforzamos bastante, en mi caso, soy madre de familia y emprendedora y mi pareja no me apoya en mi decisión de seguir estudiando… es demasiado difícil para mí que estoy pasado eso. Y nisiquiera me dan opción a becas "
26/9/2025 15:35:10,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,23–25 años,Femenino,1°,Licenciatura en Psicología,Pocas veces,Dificultades económicas,No cuento con apoyo,Alto,No,Muy positivamente,"No, ninguna",No afecta,"Sí, de manera constante","Sí, totalmente",Satisfecho,Alta,Sí,Económica,No,Becas o apoyos económicos,Apoyar con más becas también a las modalidades a distancia porque a veces escogemos la modalidad porque tenemos el doble de necesidades y apenas y sobrevivimos con los trabajos mal pagados 
26/9/2025 15:35:12,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,25 - 29 años,Femenino,1°,Licenciatura en Psicología,Muy frecuentemente,Dificultades económicas,No cuento con apoyo,Alto,"Sí, algunas veces",Positivamente,"No, casi ninguna",No afecta,No recibo apoyo,"No, en general no",Satisfecho,Alta,Sí,Económica,No,Becas o apoyos económicos,"Aveces por ser estudiantes en modalidad remota no recibimos apoyos económicos pero creo que tambien nosotros no los lerecemos y hay muchos que lo necesitian, espero pudieran contemplarlo"
26/9/2025 16:04:55,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,2°,Licenciatura en Psicología,Pocas veces,Problemas académicos,No cuento con apoyo,Alto,"Sí, algunas veces",Positivamente,"No, ninguna",No afecta,"Sí, de manera constante","No, en general no",Satisfecho,Moderada,Sí,Familiar,Sí,Apoyo psicológico/emocional,Más tutoriales
26/9/2025 16:10:23,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",17–19 años,Femenino,1°,Licenciatura en Psicología,Nunca,,No cuento con apoyo,Moderado,"Sí, algunas veces",Positivamente,Prefiero no contestar,No afecta,"Sí, de manera ocasional","Sí, totalmente",Satisfecho,Moderada,No,,No,Becas o apoyos económicos,Yo creo que para los de modalidad a distancia son las becas para poder usar computadoras e internet 
26/9/2025 16:52:07,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Femenino,1°,Licenciatura en Psicología,Algunas veces,Dificultades económicas,No cuento con apoyo,Bajo,No,Positivamente,"Sí, algunas dificultades","Sí, afecta mucho","Sí, de manera constante","Sí, totalmente",Muy satisfecho,Muy alta,Sí,Económica,Sí,Becas o apoyos económicos,"Apoyos económicos ya que muchos desafortunadamente no contamos con los recursos para poder seguir estudiando, también contar con universidades gratuita a ya sea presencial o a distancia, apoyos con electrónicos que son dispensables"
29/9/2025 0:15:22,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Femenino,2°,Licenciatura en Ingeniería en Control y Automatización,Algunas veces,Otra,No cuento con apoyo,Alto,"Sí, algunas veces",Neutro,"Sí, algunas dificultades","Sí, afecta mucho",No recibo apoyo,"Sí, totalmente",Poco satisfecho,Alta,Sí,Problemas con la universidad,Parcialmente,Flexibilidad de horarios,"Que nos dieran más flexibilidad de horarios, que abrieran un turno en la mañana para que sea más fácil para los que trabajamos "
1/10/2025 18:15:51,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",20–22 años,Femenino,5°,Licenciatura en Turismo,Algunas veces,Dificultades económicas,No cuento con apoyo,Alto,"Sí, algunas veces",Neutro,"Sí, algunas dificultades","Sí, afecta mucho","Sí, de manera ocasional","Sí, en parte",Satisfecho,Moderada,Sí,Problemas con la universidad,No,Becas o apoyos económicos,Apoyos económicos 
30/9/2025 14:14:37,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,2°,Licenciatura en Relaciones Internacionales,Algunas veces,"Problemas con la universidad (, trámites, docentes, etc)",No cuento con apoyo,Moderado,No,Neutro,"Sí, algunas dificultades",No afecta,No recibo apoyo,"Sí, en parte",Satisfecho,Alta,Sí,Responsabilidades /tiempo,Parcialmente,Menos carga de trabajos  individuales,"Más dinamismo, participación y trabajo en clases/ no tareas"
24/9/2025 6:21:37,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,3°,Licenciatura en Contaduría y Finanzas,Pocas veces,Otra,No cuento con apoyo,Muy alto,"Sí, algunas veces",Neutro,Prefiero no contestar,No afecta,"Sí, de manera ocasional","Sí, en parte",Satisfecho,Moderada,Sí,Salud física o mental,Parcialmente,Becas o apoyos económicos,"Que se extendieran los tiempos para los que somos a distancia, aveces el trabajo, la vida personal cruza con la presión de los módulos qué son muy pequeños en tiempo, para poder aprender no toda la gente trabaja con horarios flexibles, solo un poco más de tiempo para la entrega de activodades, ya que en mi caso es uno de los motivos por los cuales he pensado en dejarlo "
25/9/2025 10:01:53,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,Más de 30,Femenino,3°,Licenciatura en Humanidades y Narrativas Multimedia,Muy frecuentemente,Dificultades económicas,"Sí, apoyo en especie (alimentación, transporte, materiales)",Muy alto,"Sí, frecuentemente",Neutro,"Sí, algunas dificultades","Sí, afecta un poco",No recibo apoyo,Prefiero no contestar,Poco satisfecho,Muy baja,Sí,Salud física o mental,No,"Clases efectivas, me cuesta mucho trabajo la asistencia y cuando voy el 60% de la clase es una plática con los alumnos o sus experiencias. Muy poca clase, me provoca mejor no asistir para no perder trabajo. Eso es porque hay compañeros con 100% de asistencia pero reprueban. Me gustaría que el criterio de los profesores fuera individual",Flexibilidad en horarios y cambios de modalidad más flexibles
25/9/2025 11:30:54,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Masculino,1°,Licenciatura en Tecnologías de Información y Comunicación,Algunas veces,"Problemas con la universidad (, trámites, docentes, etc)",No cuento con apoyo,Moderado,Prefiero no contestar,Neutro,"No, ninguna",No afecta,No recibo apoyo,"No, en general no",Nada satisfecho,Moderada,No estoy seguro,Salud física o mental,Parcialmente,Apoyo psicológico/emocional,-
26/9/2025 18:12:26,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,3°,Licenciatura en Psicología,Pocas veces,Otra,No cuento con apoyo,Alto,"Sí, algunas veces",Positivamente,"Sí, algunas dificultades",No afecta,No recibo apoyo,"Sí, totalmente",Satisfecho,Alta,Sí,Académica,No,"que los tramites fueran, mas rapido y que fueran en diferentes sedes,  que hubiera credencial",que hubiera más de una clase a la semana minimo 2
26/9/2025 18:31:49,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,Más de 30,Femenino,8°,Licenciatura en Psicología,Muy frecuentemente,Salud física o mental,No cuento con apoyo,Muy alto,"Sí, frecuentemente",Negativamente,"Sí, muchas dificultades",No afecta,"Sí, de manera ocasional","Sí, en parte",Poco satisfecho,Moderada,Sí,Salud física o mental,No,Flexibilidad de horarios,"Más flexibilidad en cuanto alas prácticas ya que muchos somos padres de familia ,en mi casa mamá sola y me a costado mucho la rigidez académica que tiene la universidad "
26/9/2025 14:55:30,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Femenino,1°,Licenciatura en Psicología,Pocas veces,Dificultades económicas,No cuento con apoyo,Alto,"Sí, frecuentemente",Neutro,Prefiero no contestar,"Sí, afecta un poco",No recibo apoyo,"Sí, totalmente",Satisfecho,Muy alta,Sí,Salud física o mental,Parcialmente,Becas o apoyos económicos,También ofrecer apoyo y acompañamiento psicólogo cuando se requiera 
26/9/2025 20:56:06,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,8°,Licenciatura en Psicología,Pocas veces,Otra,No cuento con apoyo,Alto,"Sí, algunas veces",Muy positivamente,"No, casi ninguna",No afecta,"Sí, de manera ocasional","Sí, totalmente",Satisfecho,Muy alta,Sí,"El trabajo, la economía los hijos/as, las actividades del hogar.",Parcialmente,"El tiempo para elaborar las actividades, puede no ser suficiente para todos, si consideramos que además de estudiar tienen que trabajar largas horas, llegar a su casa y atender a las hijas/os, hacer las labores propias del hogar, entre otras, terminan el día agotados/as. Además, son de cuatro meses el semestre.","Si son semestre, se consideren los meses correspondientes, pues a veces son menos de cuatro."
26/9/2025 15:33:06,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Femenino,3°,Licenciatura en Psicología,Muy frecuentemente,Salud física o mental,No cuento con apoyo,Muy alto,"Sí, frecuentemente",Neutro,"No, casi ninguna","Sí, afecta un poco","Sí, de manera ocasional","Sí, en parte",Satisfecho,Baja,Sí,Salud física o mental,No,Apoyo psicológico/emocional, 
27/9/2025 14:57:48,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,Más de 30,Femenino,2°,Licenciatura en Psicología,Algunas veces,Falta de motivación / interés,No cuento con apoyo,Moderado,"Sí, algunas veces",Positivamente,"No, casi ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Satisfecho,Baja,No,,Parcialmente,Becas o apoyos económicos,Organización y recuperación en intersemestrales
26/9/2025 17:35:14,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,3°,Licenciatura en Psicología,Algunas veces,Falta de motivación / interés,No cuento con apoyo,Alto,"Sí, frecuentemente",Neutro,"Sí, algunas dificultades",No afecta,"Sí, de manera constante","Sí, totalmente",Satisfecho,Alta,Sí,Salud física o mental,No,Flexibilidad de horarios,"becas y apoyos, apoyo psicológico, más tiempo flexible en actividades se supone que es un semestre y lo hacemos en tres meses"
26/9/2025 18:11:43,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Femenino,3°,Licenciatura en Psicología,Algunas veces,Salud física o mental,No cuento con apoyo,Alto,"Sí, frecuentemente",Neutro,"No, casi ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Satisfecho,Moderada,Sí,Salud física o mental,No,Apoyo psicológico/emocional,Que los profesores no sean un obstáculo de concluirla al contrario que sean un apoyo para continuar. Al igual que un asesor psicológico estaría bien por tanta carga de estrés aunado la vida personal que en ocasiones es muy difícil.
27/9/2025 22:16:17,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,3°,Licenciatura en Contaduría y Finanzas,Pocas veces,Dificultades económicas,No cuento con apoyo,Moderado,No,Muy positivamente,"Sí, algunas dificultades",No afecta,No recibo apoyo,"Sí, totalmente",Muy satisfecho,Muy alta,No,,Parcialmente,Becas o apoyos económicos,"Aparte del apoyo económico, más clases osea más sesiones sincronas por materia."
29/9/2025 7:24:06,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",17–19 años,Masculino,3°,Licenciatura en Humanidades y Narrativas Multimedia,Pocas veces,,No cuento con apoyo,Bajo,Prefiero no contestar,Neutro,"No, casi ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Satisfecho,Moderada,Sí,Salud física o mental,Parcialmente,Orientación vocacional,No tengo sugerencia
27/9/2025 22:24:28,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Masculino,3°,Licenciatura en Contaduría y Finanzas,Nunca,,No cuento con apoyo,Moderado,"Sí, algunas veces",Muy positivamente,"No, ninguna",No afecta,No recibo apoyo,"No, en general no",Muy satisfecho,Muy baja,No,,No,Tutorías académicas,Tener retroalimentación con los alumnos para poder asesorarlos y orientarlos 
27/9/2025 22:27:58,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,3°,Licenciatura en Contaduría y Finanzas,Algunas veces,Dificultades económicas,No cuento con apoyo,Alto,"Sí, frecuentemente",Positivamente,"Sí, algunas dificultades",No afecta,"Sí, de manera constante","No, en general no",Satisfecho,Baja,Sí,Económica,No,Becas o apoyos económicos,Becas para poder estudiar mas desahogadamente y no estar pensando en lo economico y no estar al 100 en el trabajo y en la escuela.  
27/9/2025 22:29:33,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,Más de 30,Femenino,3°,Licenciatura en Contaduría y Finanzas,Muy frecuentemente,Otra,No cuento con apoyo,Muy alto,"Sí, algunas veces",Muy positivamente,"No, ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Muy satisfecho,Muy alta,No,,Sí,Tutorías académicas,Hay que motivarnos para salir adelante 
27/9/2025 22:39:29,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,3°,Licenciatura en Contaduría y Finanzas,Nunca,,No cuento con apoyo,Muy alto,"Sí, algunas veces",Muy positivamente,"No, ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Muy satisfecho,Alta,No,,Parcialmente,Becas o apoyos económicos,"Ayudaria a que los semestres fueran un poco mas largos ya que muchos de mis compañeros trabajan, eso afecta a la hora de entregar sus actividades por el tiempo que tienen para realizarlas."
23/9/2025 19:13:21,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,Más de 30,Femenino,8°,Licenciatura en Administración y Comercio,Algunas veces,Problemas familiares,No cuento con apoyo,Moderado,"Sí, algunas veces",Neutro,"No, casi ninguna",No afecta,"Sí, de manera ocasional","Sí, totalmente",Satisfecho,Alta,No estoy seguro,"Falta de motivación e interés en la ma…
",Parcialmente,Becas o apoyos económicos,que los que somos a distancia los tiempos de entrega no sean tan cortos
27/9/2025 23:20:59,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,3°,Licenciatura en Contaduría y Finanzas,Pocas veces,Otra,No cuento con apoyo,Bajo,No,Muy positivamente,"Sí, algunas dificultades",No afecta,"Sí, de manera ocasional","Sí, totalmente",Satisfecho,Alta,Sí,Económica,Parcialmente,Becas o apoyos económicos,Apoyo de becas para los compañeros de escasos recursos 
27/9/2025 23:27:53,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,3°,Licenciatura en Contaduría y Finanzas,Nunca,,No cuento con apoyo,Moderado,"Sí, algunas veces",Muy positivamente,"No, ninguna",No afecta,"Sí, de manera constante","Sí, totalmente",Muy satisfecho,Muy alta,No,,Sí,Becas o apoyos económicos,Apoyo en transporte 
27/9/2025 23:32:48,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,23–25 años,Femenino,3°,Licenciatura en Contaduría y Finanzas,Nunca,,No cuento con apoyo,Moderado,No,Positivamente,"No, ninguna",No afecta,"Sí, de manera ocasional","Sí, totalmente",Satisfecho,Alta,Sí,Falta de motivación e interés en la materia,Sí,Pues motivación de la familia y ser uno mismo entusiasta para realizar las cosas ,Poder tener en cuenta que es algo para nuestro futuro y nos ayuda a nuestra formación para la vida 
27/9/2025 23:33:35,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",20–22 años,Masculino,3°,Licenciatura en Contaduría y Finanzas,Pocas veces,Falta de motivación / interés,No cuento con apoyo,Muy alto,"Sí, frecuentemente",Muy positivamente,"Sí, muchas dificultades",No afecta,"Sí, de manera ocasional","Sí, totalmente",Satisfecho,Alta,No,,No,todo lo anterior,"Seria bueno las tutorias y becas, muchos entran con conocimientos previos y algunos profes dn por sentado que toda la clase tiene esos conocimientos."
27/9/2025 23:37:50,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,23–25 años,Femenino,3°,Licenciatura en Contaduría y Finanzas,Pocas veces,Falta de motivación / interés,No cuento con apoyo,Alto,"Sí, algunas veces",Muy positivamente,"No, ninguna",No afecta,"Sí, de manera ocasional","Sí, totalmente",Muy satisfecho,Alta,No,,Sí,Becas o apoyos económicos,Becas para el tipo de estudiante tanto presencial y a distancia 
27/9/2025 23:39:16,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,3°,Licenciatura en Contaduría y Finanzas,Algunas veces,Otra,No cuento con apoyo,Alto,"Sí, frecuentemente",Positivamente,"No, ninguna",No afecta,"Sí, de manera constante","Sí, en parte",Satisfecho,Moderada,Sí,Familiar,No,Becas o apoyos económicos,"Que brinden becas, ya que conozco casos de compañeras que por cuestiones económicas abandonaron la universidad. "
27/9/2025 23:42:36,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,3°,Licenciatura en Contaduría y Finanzas,Algunas veces,Dificultades económicas,No cuento con apoyo,Moderado,"Sí, algunas veces",Positivamente,"No, ninguna",No afecta,"Sí, de manera constante","Sí, totalmente",Muy satisfecho,Moderada,No,,Sí,Tutorías académicas,Encuentas cómo estás ayudan a percibir lo que siente el estudiante.
28/9/2025 1:18:42,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,Más de 30,Femenino,3°,Licenciatura en Contaduría y Finanzas,Algunas veces,Falta de motivación / interés,No cuento con apoyo,Alto,"Sí, algunas veces",Positivamente,"No, casi ninguna","Sí, afecta un poco","Sí, de manera ocasional","Sí, totalmente",Satisfecho,Alta,Sí,Económica,No,Tutorías académicas,"Más apoyo al alumno, los profesores que sean de más apoyo, que les interese que nosotros aprendamos, que nos den chance de que revisen nuestra tarea, incluso que nos comenten nuestros errores."
28/9/2025 8:26:23,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Masculino,3°,Licenciatura en Contaduría y Finanzas,Nunca,,No cuento con apoyo,Moderado,No,Muy positivamente,"No, ninguna",No afecta,"Sí, de manera constante","Sí, totalmente",Muy satisfecho,Muy alta,No,,Sí,Becas o apoyos económicos,El apoyo económico es un factor que afecta a muchos estudiantes 
23/9/2025 19:48:05,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",20–22 años,Femenino,1°,Licenciatura en Psicología,Nunca,"Problemas con la universidad (, trámites, docentes, etc)",No cuento con apoyo,Moderado,No,Neutro,"No, ninguna",No afecta,"Sí, de manera constante","Sí, totalmente",Muy satisfecho,Moderada,No,"Falta de motivación e interés en la ma…
",Parcialmente,Becas o apoyos económicos,Que las actividades sean más claras a lo que piden 
